html-entity,decimal-entity,description
fnof,402,latin small f with hook
Alpha,913,greek capital letter alpha
Beta,914,greek capital letter beta
Gamma,915,greek capital letter gamma
Delta,916,greek capital letter delta
Epsilon,917,greek capital letter epsilon
Zeta,918,greek capital letter zeta
Eta,919,greek capital letter eta
Theta,920,greek capital letter theta
Iota,921,greek capital letter iota
Kappa,922,greek capital letter kappa
Lambda,923,greek capital letter lambda
Mu,924,greek capital letter mu
Nu,925,greek capital letter nu
Xi,926,greek capital letter xi
Omicron,927,greek capital letter omicron
Pi,928,greek capital letter pi
Rho,929,greek capital letter rho
Sigma,931,greek capital letter sigma
Tau,932,greek capital letter tau
Upsilon,933,greek capital letter upsilon
Phi,934,greek capital letter phi
Chi,935,greek capital letter chi
Psi,936,greek capital letter psi
Omega,937,greek capital letter omega
alpha,945,greek small letter alpha
beta,946,greek small letter beta
gamma,947,greek small letter gamma
delta,948,greek small letter delta
epsilon,949,greek small letter epsilon
zeta,950,greek small letter zeta
eta,951,greek small letter eta
theta,952,greek small letter theta
iota,953,greek small letter iota
kappa,954,greek small letter kappa
lambda,955,greek small letter lambda
mu,956,greek small letter mu
nu,957,greek small letter nu
xi,958,greek small letter xi
omicron,959,greek small letter omicron
pi,960,greek small letter pi
rho,961,greek small letter rho
sigmaf,962,greek small letter final sigma
sigma,963,greek small letter sigma
tau,964,greek small letter tau
upsilon,965,greek small letter upsilon
phi,966,greek small letter phi
chi,967,greek small letter chi
psi,968,greek small letter psi
omega,969,greek small letter omega
thetasym,977,greek small letter theta symbol
upsih,978,greek upsilon with hook symbol
piv,982,greek pi symbol
bull,8226,bullet = black small circle
hellip,8230,horizontal ellipsis = three dot leader
prime,8242,prime = minutes = feet
Prime,8243,double prime = seconds = inches
oline,8254,overline = spacing overscore
frasl,8260,fraction slash
weierp,8472,script capital P = power set
image,8465,blackletter capital I = imaginary part
real,8476,blackletter capital R = real part symbol
trade,8482,trade mark sign
alefsym,8501,alef symbol = first transfinite cardinal
larr,8592,leftwards arrow
uarr,8593,upwards arrow
rarr,8594,rightwards arrow
darr,8595,downwards arrow
harr,8596,left right arrow
crarr,8629,downwards arrow with corner leftwards
lArr,8656,leftwards double arrow
uArr,8657,upwards double arrow
rArr,8658,rightwards double arrow
dArr,8659,downwards double arrow
hArr,8660,left right double arrow
forall,8704,for all
part,8706,partial differential
exist,8707,there exists
empty,8709,empty set = null set = diameter
nabla,8711,nabla = backward difference
isin,8712,element of
notin,8713,not an element of
ni,8715,contains as member
prod,8719,n-ary product = product sign
sum,8721,n-ary sumation
minus,8722,minus sign
lowast,8727,asterisk operator
radic,8730,square root = radical sign
prop,8733,proportional to
infin,8734,infinity
ang,8736,angle
and,8743,logical and = wedge
or,8744,logical or = vee
cap,8745,intersection = cap
cup,8746,union = cup
int,8747,integral
there4,8756,therefore
sim,8764,tilde operator = varies with = similar to
cong,8773,approximately equal to
asymp,8776,almost equal to = asymptotic to
ne,8800,not equal to
equiv,8801,identical to
le,8804,less-than or equal to
ge,8805,greater-than or equal to
sub,8834,subset of
sup,8835,superset of
nsub,8836,not a subset of
sube,8838,subset of or equal to
supe,8839,superset of or equal to
oplus,8853,circled plus = direct sum
otimes,8855,circled times = vector product
perp,8869,up tack = orthogonal to = perpendicular
sdot,8901,dot operator
lceil,8968,left ceiling = apl upstile
rceil,8969,right ceiling
lfloor,8970,left floor = apl downstile
rfloor,8971,right floor
lang,9001,left-pointing angle bracket = bra
rang,9002,right-pointing angle bracket = ket
loz,9674,lozenge
spades,9824,black spade suit
clubs,9827,black club suit = shamrock
hearts,9829,black heart suit = valentine
diams,9830,black diamond suit
